ash-hole-tray,-0.6
aspir,0.2
aspirin,0.3
ass,-2.5
assail,-0.6
assassination,-2.9
assault,-2.8
assaulted,-2.4
asset,1.5
assets,0.7
ass-groov,-0.8
ass-jerk,-0.9
assure,1.4
assured,1.5
assuredly,1.6
ass-whomp,-1.4
ass-whuppin,-1.6
astound,1.7
astounded,1.8
astounding,1.8
astounds,2.1
a-stupid,-0.7
attachment,1.2
attachments,1.1
attack,-2.1
attacked,-2
attacking,-2
attacks,-1.9
attract,1.5
attracted,1.8
attracting,2.1
attraction,2
attractions,1.8
attractive,1.9
attracts,1.7
authority,0.3
aversion,-1.9
avert,-0.7
averted,-0.3
avid,1.2
avoid,-1.2
avoided,-1.4
avoider,-1.8
avoiding,-1.4
avoids,-0.7
await,0.4
awaited,-0.1
awaits,0.3
award,2.5
awarded,1.7
awards,2
awesome,3.1
awful,-2
awkward,-0.6
awkwardly,-1.3
awkwardness,-0.7
axe,-0.4
b?,2.3
backed,0.1
backing,0.1
backs,-0.2
bad,-2.5
badass,-0.6
badly,-2.1
bailout,-0.4
ban,-2.6
banish,-1.9
bankrupt,-2.6
banned,-2
bargain,0.8
barrier,-0.5
bashful,-0.1
bastard,-2.5
bastardized,-2
bastards,-3
battle,-1.6
battlefield,-1.6
battleground,-1.7
battlements,-0.4
battles,-1.6
battleship,-0.1
battling,-1.1
beaten,-1.8
beating,-2
beaut,1.6
beauti,3
beauties,2.4
beautifiers,1.7
beautiful,2.9
beautifully,2.7
beautify,2.3
beauty,2.8
belittled,-2
beloved,2.3
beneficial,1.9
benefit,2
benefits,1.6
benefitting,1.9
benevolent,2.7
best,3.2
betray,-3.2
betrayal,-2.8
betrayed,-3
betraying,-2.5
better,1.9
bfd,-2.7
bias,-0.4
biased,-1.1
bitch,-2.8
bitches,-2.9
bitching,-1.1
bitter,-1.8
bitterly,-2
bitterness,-1.7
bitters,-0.4
bittersweet,-0.3
bizarre,-1.3
blacken,-2
blah,-0.4
blam,-0.2
blame,-1.4
blamed,-2.1
blames,-1.7
blaming,-2.2
bless,1.8
blessed,2.9
blesser,2.6
blessing,2.2
blessings,2.5
blind,-1.7
bliss,2.7
blissful,2.9
block,-1.9
blockbuster,2.9
blocked,-1.1
blocking,-1.6
blocks,-0.9
bloody,-1.9
blurry,-0.4
bold,1.6
boldly,1.5
bomb,-2.2
bonus,2.5
bonuses,2.6
boost,1.7
bore,-1
bored,-1.1
boredom,-1.3
boring,-1.3
bother,-1.4
bothered,-1.3
bothering,-1.6
bothers,-0.8
boycott,-1.3
boycotted,-1.7
brainwashing,-1.5
brave,2.4
bravely,2.3
braver,2.4
bravery,2.2
braves,1.9
bravest,2.3
breathtaking,2
bribe,-0.8
bright,1.9
brighten,1.9
brightened,2.1
brighter,1.6
brightest,3
brightly,1.5
brilliance,2.9
brilliant,2.8
brilliantly,3
broke,-1.8
broken,-2.1
brooding,0.1
brutal,-3.1
brutality,-3
brutalize,-2.9
brutally,-3
bullied,-3.1
bully,-2.2
bullying,-2.9
bummer,-1.6
burden,-1.9
burdensome,-1.8
calm,1.3
calmative,1.1
calming,1.7
calmly,1.3
cancel,-1
cancelled,-1
cancelling,-0.8
cancels,-0.9
cancer,-3.4
capable,1.6
captivated,1.6
care,2.2
cared,1.8
carefree,1.7
careful,0.6
carefully,0.5
careless,-1.5
carelessness,-1.4
cares,2
caring,2.2
casual,0.8
catastrophe,-3.4
catastrophic,-2.2
cautious,-0.4
celebrate,2.7
celebrated,2.7
celebrates,2.7
celebrating,2.7
censor,-2
certain,1.1
certainly,1.4
certainty,1
challenge,0.3
challenged,-0.4
challenger,0.5
challenges,0.3
challenging,0.6
champ,2.1
champagne,1.2
